id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
2104651,1991,0.175,0.029,0.48,0.382
2104677,1991,0.273,0.079,0.566,0.457
2104701,1991,0.316,0.168,0.487,0.387
2104800,1991,0.295,0.096,0.587,0.457
2104909,1991,0.374,0.23,0.572,0.399
2105005,1991,0.212,0.051,0.489,0.381
2105104,1991,0.21,0.054,0.513,0.335
2105153,1991,0.205,0.046,0.502,0.371
2105203,1991,0.333,0.172,0.514,0.419
2105302,1991,0.444,0.259,0.593,0.57
2105351,1991,0.143,0.015,0.5,0.391
2105401,1991,0.338,0.168,0.563,0.41
2105427,1991,0.313,0.098,0.587,0.535
2105450,1991,0.194,0.04,0.533,0.342
2105476,1991,0.17,0.03,0.501,0.325
2105500,1991,0.299,0.11,0.553,0.441
2105609,1991,0.251,0.08,0.505,0.392
2105658,1991,0.208,0.051,0.464,0.383
2105708,1991,0.31,0.13,0.546,0.421
2105807,1991,0.32,0.127,0.557,0.465
2105906,1991,0.257,0.094,0.487,0.37
2105922,1991,0.217,0.05,0.543,0.375
2105948,1991,0.279,0.101,0.528,0.408
2105963,1991,0.133,0.015,0.474,0.329
2105989,1991,0.149,0.013,0.601,0.424
2106003,1991,0.325,0.135,0.549,0.463
2106102,1991,0.293,0.132,0.557,0.343
2106201,1991,0.314,0.122,0.565,0.449
2106300,1991,0.277,0.123,0.499,0.348
2106326,1991,0.278,0.093,0.534,0.432
2106359,1991,0.166,0.023,0.503,0.395
2106375,1991,0.192,0.039,0.492,0.368
2106409,1991,0.267,0.107,0.552,0.324
2106508,1991,0.31,0.148,0.574,0.349
2106607,1991,0.222,0.05,0.582,0.377
2106631,1991,0.209,0.062,0.492,0.298
2106672,1991,0.192,0.033,0.579,0.373
2106706,1991,0.26,0.09,0.529,0.371
2106755,1991,0.34,0.156,0.563,0.447
2106805,1991,0.38,0.219,0.572,0.438
2106904,1991,0.248,0.076,0.501,0.401
2107001,1991,0.234,0.059,0.54,0.401
2107100,1991,0.28,0.106,0.491,0.42
2107209,1991,0.278,0.125,0.511,0.336
2107258,1991,0.22,0.083,0.557,0.229
2107308,1991,0.32,0.185,0.522,0.339
2107357,1991,0.266,0.085,0.568,0.392
2107407,1991,0.276,0.099,0.511,0.417
2107456,1991,0.257,0.094,0.582,0.312
2107506,1991,0.526,0.421,0.65,0.533
2107605,1991,0.253,0.092,0.536,0.33
2107704,1991,0.297,0.108,0.533,0.454
2107803,1991,0.223,0.058,0.53,0.362
2107902,1991,0.265,0.086,0.529,0.409
2108009,1991,0.323,0.143,0.601,0.391
